PC1	PC2	PC3	PC4	PC5	PC6
ENSG00000186092	-217.060725993982	-9.71854384972746	-76.9391875031708	-52.1769182177482	-22.8469378904301	-12.7316009148389
ENSG00000237683	-253.016586245193	-96.6531015863785	-66.9570005675739	16.0534921965627	-32.7122656215728	8.04785648765496
ENSG00000235249	-64.6436512672047	212.311549173437	-8.07789597138047	12.7127957736127	-35.1314034537871	2.31889724976419
ENSG00000185097	-0.995687244611881	-147.888220860858	130.788717666708	-108.582314741984	11.7768787103239	-16.7350111822321
ENSG00000269831	-3.58422941330225	33.3974038446523	-151.70979834626	-87.2756832835026	12.5049597755266	-31.6539335471875
ENSG00000269308	70.361471331379	18.619651378691	28.2051384975393	-163.832432914958	55.5820692124107	-13.6440305628492
ENSG00000187634	-66.3751065104205	213.565684313558	102.277399726525	30.8917803122301	45.0154432762396	-18.709268181773
ENSG00000268179	-54.8488786547156	25.7354953111832	-77.52917265927	29.6100780932437	-107.102766504369	-57.0059636453145
ENSG00000188976	-108.339973341697	208.975877510011	15.4248098939128	24.2371929526889	34.6818966996629	15.6736099309133
ENSG00000187961	-174.933449366568	-55.1324445174415	-69.5163787954888	83.4591524741596	64.6110685282673	-29.7816333690496
ENSG00000187583	-0.804502375799942	-51.3109597645647	-83.7990925625541	44.2322438789672	42.9618887194037	-86.4340942138848
ENSG00000187642	122.492259748886	7.59225832715655	10.666483648223	15.46480415016	28.751997535555	40.4460692118586
ENSG00000187608	-208.397240060164	-145.874899865182	-60.5175171455899	-43.7978865582516	-23.0123202641466	-20.7891260031601
ENSG00000188157	39.9232205220613	3.046385777409	-129.152262406845	-43.7078919233526	-56.0492354109123	-23.2920319811642
ENSG00000237330	-281.336392931063	43.9448735825282	-51.9657323512348	-19.778904710267	-18.9112850675599	-9.70183794076945
ENSG00000131591	-183.885761142595	65.2450484524477	-11.5955908665056	17.9557136663088	-1.43078224008151	49.3308117840119
ENSG00000162571	-57.8537139386814	-40.247825317524	-81.5442548433451	-81.3275855949092	22.0521358894708	-8.07168617646631
