ENSG	Cluster10	Cluster1	Cluster5	Cluster0	Cluster8	Cluster2	Cluster9	Cluster3	Cluster11	Cluster6	Cluster4	Cluster13	Cluster7	Cluster12
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	0	0	0	5.58429227565382	0	0	0	0	6.88491998611715	0
ENSG00000188976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187961	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157	0	-8.55467498413807	12.3424087747962	-7.82366888442493	0	3.2200687382974	0	-6.81806428972376	0	-5.97129302944221	-5.81674868836636	0	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078808	-2.23051517543084	-4.89900845007941	-2.75508922313529	0	0	0	-9.2333054170744	0	0	-3.05166732149574	7.0268111051125	0	0	0
ENSG00000176022	5.08842975583949	-3.41412717915103	0	-3.07972303787596	0	0	-10.679205505534	2.30548964320699	0	0	0	0	0	0
ENSG00000184163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160087	4.1309628853118	-3.31699166753364	0	-2.61710758079139	0	0	6.86422348368525	0	0	0	0	0	0	0
ENSG00000162572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	0	0	0	0	0	2.83682893409001	0	0	0	0	0	0	0	0
ENSG00000127054	3.05677489116324	2.63305574775667	0	0	0	2.96919081290287	4.94339490967746	0	0	0	0	0	0	0
ENSG00000224051	0	0	5.48845881823125	0	0	4.10276804741808	0	0	0	0	0	0	0	0
ENSG00000169962	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107404	3.11971793545139	-3.47243781293175	0	0	0	-2.49415054079377	9.11151164033937	3.35640035705737	0	0	0	0	2.28360157923023	0
ENSG00000162576	9.10594348878377	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175756	0	-2.31767279432195	0	0	0	0	3.82178424965906	0	0	0	2.17336191354492	0	0	0
ENSG00000221978	8.12024057351128	-2.4942636216634	0	-4.61651526810642	0	0	-9.84187785381384	3.87649419830806	0	0	0	0	2.26001732746939	0
ENSG00000242485	-3.05210842166999	0	0	7.317919830132	0	-3.43452363828096	-13.0294771910377	4.52783022671109	0	2.42232956956111	0	0	0	0
ENSG00000235098	-16.9736886504239	0	-6.96395923990495	9.23512154468133	0	-10.067679582792	-13.7241518540276	14.2052045263685	0	2.84169319035771	0	-5.38746868566493	4.37415363113418	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179403	-7.72373928516397	-4.38816190613209	4.43463179924521	0	0	0	-15.2550965888484	-4.19344126468876	-6.2982486834697	0	7.34011952448333	-33.3625133100765	0	5.65276438276272
ENSG00000215915	-8.4533038429629	0	-2.60093261370498	-5.05729487296788	0	-6.97785773951651	6.55724528415307	-3.9399197468586	0	0	2.40279084824553	0	3.76166024692449	3.31580245198717
ENSG00000160072	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160075	-2.2513486864371	-5.03558925465655	0	5.3474195436338	-2.17084131132277	0	-10.5793454445059	0	0	0	2.57767916788144	0	4.27781813000693	0
ENSG00000228594	0	0	0	0	0	0	0	0	0	0	0	0	3.40339282443233	0
ENSG00000197530	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189339	0	-5.27176980831751	0	0	0	0	-12.553625098118	5.0091842041745	0	0	0	-2.45532708554164	0	0
ENSG00000008128	0	-2.95891605014867	0	0	0	-2.66367307471259	3.67250974113704	0	0	0	0	0	0	0
ENSG00000215790	-2.60527649966405	-6.13597366395273	0	-3.36198470916805	0	0	-8.33161631536178	3.22828742421297	0	0	-2.87455757978048	0	4.51984874213969	0
ENSG00000008130	6.82644344522051	-6.14997418047106	4.72536410517927	0	0	10.3841220001263	-12.2437753979958	0	0	0	0	0	0	0
ENSG00000078369	-4.48775878588795	0	-2.11479730971949	8.47729430065928	0	-3.49983002519358	-9.75733349496361	13.8243840634194	0	0	9.39627703617201	0	4.99202512591294	2.69715150408154
ENSG00000169885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162585	2.90577086582197	-2.90736241999983	0	0	0	-2.43141688212509	-6.8028092220095	2.68939649983374	0	0	0	0	0	-20.2153772946555
ENSG00000157933	10.7063839640277	-2.64058687827722	0	-4.25632400649632	0	-3.06768719759705	-9.91958915450182	3.38459995627844	0	0	0	0	0	4.60596311509338
ENSG00000116151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157916	11.9130712557266	-6.21152028607956	8.85690792420604	0	-5.88745530589328	17.4605451389205	-13.4695643193308	0	0	0	0	0	0	0
ENSG00000157911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149527	0	0	0	0	0	0	0	6.48340731957421	0	0	0	0	5.56893854984089	0
ENSG00000157881	0	-4.64274871720508	0	3.13411438492971	0	0	7.20526613911729	2.60827974593007	0	0	0	0	0	0
