ENSG	Cluster0	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	Cluster7	Cluster8	Cluster9	Cluster10	Cluster11	Allcells
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	-0.0463507470476515	-0.0399981309466895	-0.0771998321787518	0.0361526259883846	0.279923290937052	-0.0592041366272469	-0.0943136198415649	0.142708478423684	0.0825196783762182	0.470917489700878	-0.082964469525656	-0.00407873884751896	1.53352836181782e-16
ENSG00000187961	0.0111790949635885	0.093475686546811	-0.0589755571445481	-0.0572789785505617	0.0259061386851801	0.00294537445111001	-0.143935405983196	-0.0203330736615837	-0.120405796744421	-0.062539112829133	-0.0396167011957818	0.121717158177213	-1.29754664085231e-16
ENSG00000187583	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	-0.00832771464742414	-0.211027690676291	-0.273163093993385	0.216055182122827	0.267705752683408	0.306353601352815	0.538930089141095	-0.208907721791162	-0.219231560289061	0.122322996406878	0.336431869583494	-0.0861030218658515	7.25855114944129e-17
ENSG00000188157	-0.0835209289452862	0.137780767475316	0.116339620832554	-0.159396814196161	-0.214611902922075	0.228900271207478	-0.13584529578809	0.212357047267122	-0.3299521137146	-0.3299521137146	0.268330307370205	-0.108436700589182	1.59604884472055e-16
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078808	0.38496180726073	0.0917612333437799	-0.539761130722723	0.226148370065165	-0.196412880544476	0.0308627224077175	-0.469115780656368	-0.0458200932547711	-0.404958369038642	-0.22723416031989	0.0367347551688056	-0.553532234029184	-2.74884935531348e-16
ENSG00000176022	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184163	0.166131404627716	0.346524494873794	-0.175956496329307	-0.101425003983004	-0.305710712170752	-0.400073447649444	-0.35987042678274	0.378002560576776	-0.359760393926112	-0.248530319505756	-0.218393962594549	0.424576121317555	7.12403292129326e-17
