ENSG	ClusterVSMC	ClusterNeuron	ClusterEC.2	ClusterFibro.1	ClusterMono.2	ClusterMacro	ClusterMono.1	ClusterEC.3	ClusterEC.1	ClusterFibro.2	Allcells
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	-0.0411144178771374	0.118386277127052	-0.0759891245116531	-0.064001855796262	0.433095177465491	0.079311319208137	0.282562730366547	-0.0897392415950677	-0.0597584560327205	0.0346462401416659	1.53352836181782e-16
ENSG00000187961	0.0299447324251836	0.0409216252810597	-0.14427655725173	0.0199050566938981	-0.0704516111534951	-0.12128959931935	0.0270741493262919	-0.0460507028388246	0.00236645199851751	-0.0648444482771061	-1.29754664085231e-16
ENSG00000187583	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	-0.233483227201966	-0.061585896804899	0.534953712288788	-0.00091700464720385	0.170876585545576	-0.220147339840591	0.253810411807792	0.312706597997682	0.304709714443865	0.162584078343739	7.25855114944129e-17
ENSG00000188157	0.134457435828121	-0.161178465619043	-0.136743938463675	-0.0839116995788973	-0.3299521137146	-0.3299521137146	-0.214058712462638	0.246705641547863	0.236558045398891	-0.144537550836038	1.59604884472055e-16
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078808	-0.162187246193698	-0.56885106029178	-0.463755043246303	0.409595028900259	-0.238123738073966	-0.395506843370034	-0.196019583895513	0.0161582020991826	0.0382619622805651	0.220272357145645	-2.74884935531348e-16
ENSG00000176022	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184163	0.145060896234624	0.317877974452437	-0.360544157145443	0.173381710323748	-0.261635720812939	-0.361084355664297	-0.304752988079837	-0.228767536902934	-0.394341078619663	-0.0643437499549142	7.12403292129326e-17
ENSG00000160087	0.0192291976285631	-0.00326762759018131	-0.110583711598598	0.0138261149223723	0.238807103999631	-0.0441553013809772	-0.0551529049491537	-0.0267920053322254	-0.0594944392291964	0.00315226912398315	-5.80336236388788e-16
ENSG00000162572	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131584	-0.0572124556147869	-0.0685797892906536	-0.0065423689363188	0.136747097930101	0.00658156946732233	-0.161624492167698	-0.101242299026178	-0.273570588669203	-0.0848173322024586	0.141148430113935	9.89448451850591e-17
ENSG00000169972	-0.0397587851975387	-0.00513981998614834	-0.0737002338484128	0.0812113019397253	0.0487988163005567	-0.151636417580825	-0.0892092072568183	-0.0621566722501997	-0.0723820583064184	0.150955113211765	-1.10322877096921e-17
ENSG00000127054	-0.0508405623330697	-0.140526551524354	0.152448426940932	0.0758584128509479	-0.0166609976215642	-0.0291971020181805	-0.081780642417191	0.299219850537521	-0.0154331901293686	0.0148915291955572	-1.4197277028542e-16
ENSG00000224051	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169962	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107404	0.062040761941489	-0.268713291973844	-0.0634612813227256	-0.0584760294475713	-0.107176695074422	-0.189677290795609	-0.120948799198161	0.0609602873014911	0.105899153870946	0.0100300034992844	7.23235365016954e-17
ENSG00000162576	0.114169509112233	-0.519655179625552	-0.852547292954615	0.423012247577618	-0.960810149406937	-0.963574092143955	-0.908938410615233	-0.333381455067905	-0.195916825729529	0.374923030325272	-5.21662161880545e-16
ENSG00000175756	0.0362822099192133	-0.122607503178598	-0.241102827122651	0.00235300687541883	0.339803255724914	-0.086949602090413	-0.128504287471863	0.173673446505355	0.152440039793269	-0.0996631855479106	-1.45201086164073e-15
ENSG00000221978	0.0554588064257695	0.0782103141120651	0.0468991978896704	0.037590218129182	-0.225326689298243	0.137336318019611	-0.315551636565166	-0.0379480598026481	-0.0502127418665828	0.00206094243400709	-2.92445495469793e-16
ENSG00000242485	0.189295617621731	-0.245104945632573	-0.234317716746749	-0.0360279944031923	0.21960589869215	-0.294447807555905	-0.35715854815621	-0.126715212222823	-0.166342377072556	-0.048897961493718	-3.12310117675933e-16
ENSG00000235098	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179403	0.0325853406330134	1.93236401577283	-0.0597488209989452	0.0757514340164202	-0.066708041309058	-0.298991821750691	-0.226411718393537	-0.0906845195942165	-0.234530111944673	0.0329389617760684	-3.27471902416281e-16
ENSG00000215915	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160072	0.0295460230178203	-0.174320436694774	-0.0984048181213298	-0.0341597458487379	0.113403390357793	-0.158244381082285	0.0208870055925706	-0.0752196368158368	-0.0421324414984026	0.0500701507916463	3.41532527743802e-18
ENSG00000197785	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205090	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160075	0.00159580441274505	-0.363715698039124	0.107968088851128	-0.0461451020377107	0.504506898217694	-0.110768870454831	0.125850829342328	0.225886895004374	-0.0861689514175955	-0.0647852557768967	6.99637320044434e-16
ENSG00000228594	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197530	0.0617268374152564	-0.232056292757906	-0.0590898919319856	0.0160357503487708	-0.0628167064923201	-0.172078455996642	-0.0516522773053589	-0.186694643160147	-0.111974215107172	-0.0135324898550987	-1.64168548759303e-16
