ENSG	Cluster4	Cluster8	Cluster1	Cluster5	Cluster7	Cluster2	Cluster11	Cluster0	Cluster9	Cluster3	Cluster6	Cluster10
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	4.00563168223491	0	0	0	0	0	0	0	2.48576483480924	0	0	0
ENSG00000187961	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	4.0479979782514	0	-10.5969899906467	4.39172872464614	0	-14.3671614444145	0	0	0	3.73134320867921	4.86780479516582	0
ENSG00000188157	-6.58544712166963	-23.054475174637	4.28179040374771	3.31664941201841	0	2.53309504828504	0	-3.22799068204976	-23.0522638500697	-4.49239390300994	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078808	-3.71374836812383	-3.59788753039173	-3.21674407887082	0	0	-15.3387993110037	-2.39443666211696	16.3843738185574	0	5.29052122166369	-6.45030799978691	0
ENSG00000176022	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184163	-8.67930776386635	-5.47741641519073	11.1345492751061	-13.5251764922835	3.07459513461267	-5.51471077880529	0	5.86199247286299	-2.70331283804628	0	-7.97229307114365	0
ENSG00000160087	0	0	6.27055834027373	0	0	-7.67768328146841	0	0	0	0	0	0
ENSG00000162572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131584	0	0	0	0	0	0	0	3.97038564181051	0	2.66703605669622	0	0
