ENSG	ClusterVSMC	ClusterMono.1	ClusterEC.1	ClusterMacro	ClusterMono.2	ClusterFibro.1	ClusterEC.2	ClusterFibro.2	ClusterNeuron	ClusterEC.3
ENSG00000186092	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	0	4.02682392278864	0	0	2.37316470806457	0	0	0	0	0
ENSG00000187961	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	0	0	0	0	0	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	-15.3299401731676	3.83509585640151	4.37776578360015	0	0	0	4.85163074231443	3.16542638598533	0	0
ENSG00000188157	6.9161119229645	-6.5390872884117	3.43406501122143	-23.0546139030595	-23.0529532090538	-3.02665318835148	0	-4.28077226853879	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	0	0	0	0	0	0	0	0	0	0
ENSG00000078808	-8.9895786811286	-3.69219747611192	0	-3.52431576562596	0	16.5967068719012	-6.39075370703138	5.6464317130654	-3.03752117069964	0
ENSG00000176022	0	0	0	0	0	0	0	0	0	0
ENSG00000184163	7.71135490062818	-8.61498646586297	-13.1429360890187	-5.54628678720704	-3.06077295568107	5.69436205316299	-8.02066255468385	0	0	0
ENSG00000160087	0	0	0	0	0	0	0	0	0	0
ENSG00000162572	0	0	0	0	0	0	0	0	0	0
ENSG00000131584	0	0	0	0	0	4.10199929266138	0	2.58910843387591	0	0
ENSG00000169972	0	0	0	0	0	2.27777532831829	0	2.86520220438059	0	0
ENSG00000127054	0	0	0	0	0	2.10699510727533	0	0	0	0
ENSG00000224051	0	0	0	0	0	0	0	0	0	0
ENSG00000169962	0	0	0	0	0	0	0	0	0	0
ENSG00000107404	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	6.25110031115036	-26.9470630001145	-3.64038667441926	-14.623603590819	-13.9491526977994	16.4444198116404	-15.9109282656223	9.89555155711784	-3.01976647284661	-2.69717070685815
ENSG00000175756	0	-2.26087436675021	2.51052930225572	0	2.85660555745742	0	-3.35051976264921	-2.08483346565677	0	0
ENSG00000221978	-2.66271161664351	-7.29848527764572	0	0	0	0	0	0	0	0
ENSG00000242485	10.4908098270289	-8.06281176858064	-3.0739084357344	-2.78741143638295	0	0	-3.1696923716678	0	0	0
ENSG00000235098	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0
ENSG00000179403	0	-6.03026629562878	-6.13659842237316	-4.50677911296729	0	2.18032730917373	0	0	6.37030489114319	0
ENSG00000215915	0	0	0	0	0	0	0	0	0	0
ENSG00000160072	0	0	0	0	0	0	0	0	0	0
ENSG00000197785	0	0	0	0	0	0	0	0	0	0
ENSG00000205090	0	0	0	0	0	0	0	0	0	0
ENSG00000160075	0	0	0	0	4.15768969249382	0	0	0	-2.25646585578359	0
ENSG00000228594	0	0	0	0	0	0	0	0	0	0
ENSG00000197530	2.95115208492392	0	0	0	0	0	0	0	0	0
ENSG00000189409	0	-23.2343882979733	-25.1135258224459	-12.092018278538	-9.22463641651293	23.3859790007274	-16.2537882091299	16.3676213785412	-4.82418774879363	-8.88636511371482
ENSG00000248333	0	0	0	0	0	0	0	0	0	0
ENSG00000189339	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	7.27388124354631	0	0	0	0	-4.23145545960621	0	0	0	0
ENSG00000215790	0	0	0	0	0	0	0	0	0	0
ENSG00000008130	-6.14968431673152	0	0	-3.60088641972032	3.65645651291937	3.67558356204098	0	2.6363459395282	-4.53204680505012	0
ENSG00000078369	0	0	4.20102349173456	-4.18034632155596	0	0	0	0	0	0
ENSG00000169885	0	0	0	0	0	0	0	0	0	0
ENSG00000178821	-18.4439761633336	0	0	0	0	16.4243995605495	0	3.2995108173528	0	0
ENSG00000142609	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	0	0	0	2.22973004693201	0	0	0	0	0	4.93572075715638
ENSG00000162585	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	3.08523637576277	-4.13608265515051	0	-7.52764080374089	-4.57689622128923	4.9142731664625	-9.65440533369875	0	0	0
ENSG00000116151	0	0	0	0	0	0	0	0	0	0
ENSG00000157916	-2.98308654097578	-4.59982531081551	-5.27353497449096	-2.94515797916675	0	9.6990895476763	2.40022744599864	6.10247637528175	0	0
ENSG00000157911	0	0	0	0	0	0	0	0	0	0
ENSG00000149527	0	0	0	0	0	0	0	0	0	0
ENSG00000157881	0	0	0	0	0	0	0	0	0	0
ENSG00000197921	0	0	0	0	0	0	0	0	0	0
ENSG00000157873	0	0	0	0	0	0	0	0	0	0
ENSG00000157870	-6.71619944156215	11.9897403455574	-4.75040955252185	-5.40346808533391	0	0	-2.22864020273226	0	0	0
ENSG00000142606	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0
