ENSG	Cluster12	Cluster1	Cluster17	Cluster14	Cluster13	Cluster8	Cluster18	Cluster9	Cluster7	Cluster6	Cluster20	Cluster3	Cluster11	Cluster10	Cluster15	Cluster4	Cluster5	Cluster19	Cluster22	Cluster2	Cluster21	Cluster16
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	1	1	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0
ENSG00000188976	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000187961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0
ENSG00000188157	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0
ENSG00000186827	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
ENSG00000078808	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0
ENSG00000176022	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
ENSG00000184163	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1
ENSG00000160087	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131584	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
ENSG00000169972	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0
ENSG00000127054	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224051	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
ENSG00000169962	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000107404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000162576	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1
