0610006L08Rik	ENSMUSG00000108652
0610007P14Rik	ENSMUSG00000021252
0610009B22Rik	ENSMUSG00000007777
0610009E02Rik	ENSMUSG00000086714
0610009L18Rik	ENSMUSG00000043644
0610009O20Rik	ENSMUSG00000024442
0610010F05Rik	ENSMUSG00000042208
0610010K14Rik	ENSMUSG00000020831
0610011F06Rik	ENSMUSG00000025731
0610012D04Rik	ENSMUSG00000089755
0610012G03Rik	ENSMUSG00000107002
0610025J13Rik	ENSMUSG00000046683
0610030E20Rik	ENSMUSG00000058706
0610031O16Rik	ENSMUSG00000099146
0610033M10Rik	ENSMUSG00000108236
0610037L13Rik	ENSMUSG00000028608
0610038B21Rik	ENSMUSG00000097882
0610039K10Rik	ENSMUSG00000058812
0610040B10Rik	ENSMUSG00000089889
0610040F04Rik	ENSMUSG00000087341
0610040J01Rik	ENSMUSG00000060512
0610043K17Rik	ENSMUSG00000087361
1010001B22Rik	ENSMUSG00000097863
1010001N08Rik	ENSMUSG00000097222
1110001J03Rik	ENSMUSG00000019689
1110002E22Rik	ENSMUSG00000090066
1110002J07Rik	ENSMUSG00000097134
1110002L01Rik	ENSMUSG00000071456
1110002O04Rik	ENSMUSG00000102531
1110003F10Rik	ENSMUSG00000106291
1110004E09Rik	ENSMUSG00000022972
1110004F10Rik	ENSMUSG00000030663
1110006O24Rik	ENSMUSG00000107121
1110008E08Rik	ENSMUSG00000046119
1110008F13Rik	ENSMUSG00000027637
1110008L16Rik	ENSMUSG00000021023
1110008P14Rik	ENSMUSG00000039195
1110012L19Rik	ENSMUSG00000045237
1110015O18Rik	ENSMUSG00000098659
1110017D15Rik	ENSMUSG00000028441
1110018N20Rik	ENSMUSG00000085151
1110019D14Rik	ENSMUSG00000097616
1110020A21Rik	ENSMUSG00000097047
1110025L11Rik	ENSMUSG00000068073
1110025M09Rik	ENSMUSG00000103520
1110028F11Rik	ENSMUSG00000085972
1110028F18Rik	ENSMUSG00000099139
1110032A03Rik	ENSMUSG00000037971
1110032F04Rik	ENSMUSG00000046999
1110034G24Rik	ENSMUSG00000044991
1110035H17Rik	ENSMUSG00000099098
1110036E04Rik	ENSMUSG00000097036
1110037F02Rik	ENSMUSG00000040720
1110038B12Rik	ENSMUSG00000092203
1110038F14Rik	ENSMUSG00000063236
1110046J04Rik	ENSMUSG00000085457
1110051M20Rik	ENSMUSG00000040591
1110057P08Rik	ENSMUSG00000068067
1110059E24Rik	ENSMUSG00000035171
1110059G10Rik	ENSMUSG00000032551
1110060G06Rik	ENSMUSG00000105036
1110065P20Rik	ENSMUSG00000078570
