ENSGID	CHR	START	END
ENSG00000186092	chr1	69091	70008
ENSG00000237683	chr1	134901	139379
ENSG00000235249	chr1	367640	368634
ENSG00000185097	chr1	621059	622053
ENSG00000269831	chr1	738532	739137
ENSG00000269308	chr1	818043	819983
ENSG00000187634	chr1	860260	879955
ENSG00000268179	chr1	861264	866445
ENSG00000188976	chr1	879584	894689
ENSG00000187961	chr1	895967	901095
ENSG00000187583	chr1	901877	911245
ENSG00000187642	chr1	910579	917497
ENSG00000188290	chr1	934342	935552
ENSG00000187608	chr1	948803	949920
ENSG00000188157	chr1	955503	991496
ENSG00000237330	chr1	1006346	1009687
ENSG00000131591	chr1	1017198	1051741
ENSG00000162571	chr1	1109264	1133315
ENSG00000186891	chr1	1138888	1142071
ENSG00000186827	chr1	1146706	1149518
ENSG00000078808	chr1	1152288	1167411
ENSG00000176022	chr1	1167629	1170421
ENSG00000184163	chr1	1177826	1182102
ENSG00000160087	chr1	1189289	1209265
ENSG00000162572	chr1	1215816	1227409
ENSG00000131584	chr1	1227756	1244989
ENSG00000169972	chr1	1243947	1247057
ENSG00000127054	chr1	1246965	1260071
ENSG00000224051	chr1	1260136	1264277
ENSG00000169962	chr1	1266694	1270686
ENSG00000107404	chr1	1270656	1284730
ENSG00000162576	chr1	1288069	1297157
ENSG00000175756	chr1	1309110	1310875
ENSG00000221978	chr1	1321091	1334708
ENSG00000224870	chr1	1334902	1337426
ENSG00000242485	chr1	1337288	1342693
ENSG00000235098	chr1	1353800	1357149
ENSG00000205116	chr1	1361508	1363167
ENSG00000179403	chr1	1370241	1378262
ENSG00000215915	chr1	1385069	1405538
ENSG00000160072	chr1	1407143	1433228
ENSG00000197785	chr1	1447531	1470067
ENSG00000205090	chr1	1470554	1475833
ENSG00000160075	chr1	1477053	1510249
ENSG00000215014	chr1	1510355	1511373
ENSG00000228594	chr1	1533392	1535476
ENSG00000197530	chr1	1550795	1565990
ENSG00000189409	chr1	1567474	1570639
ENSG00000248333	chr1	1570603	1590473
ENSG00000189339	chr1	1592939	1624167
ENSG00000008128	chr1	1634169	1655766
ENSG00000215790	chr1	1656277	1677431
ENSG00000008130	chr1	1682671	1711896
ENSG00000078369	chr1	1716729	1822495
ENSG00000169885	chr1	1846266	1848735
ENSG00000178821	chr1	1849029	1850712
ENSG00000142609	chr1	1853396	1935276
ENSG00000187730	chr1	1950780	1962192
ENSG00000067606	chr1	1981909	2116834
ENSG00000162585	chr1	2115903	2144159
ENSG00000269554	chr1	2121237	2123179
ENSG00000203301	chr1	2143360	2145620
ENSG00000157933	chr1	2160134	2241558
ENSG00000116151	chr1	2252692	2323146
ENSG00000269753	chr1	2258581	2259042
ENSG00000157916	chr1	2323267	2336883
ENSG00000157911	chr1	2336236	2345236
ENSG00000149527	chr1	2357419	2436969
ENSG00000157881	chr1	2439972	2458039
ENSG00000197921	chr1	2460184	2461684
ENSG00000157873	chr1	2487078	2496821
ENSG00000157870	chr1	2517930	2522908
ENSG00000142606	chr1	2522078	2564481
ENSG00000215912	chr1	2567415	2718286
ENSG00000169717	chr1	2938046	2939465
ENSG00000142611	chr1	2985732	3355185
ENSG00000130762	chr1	3370990	3397677
ENSG00000162591	chr1	3406484	3528059
ENSG00000158109	chr1	3541566	3546691
ENSG00000116213	chr1	3547331	3569325
ENSG00000078900	chr1	3569084	3652765
ENSG00000162592	chr1	3668962	3688209
ENSG00000235169	chr1	3689352	3692546
ENSG00000130764	chr1	3696784	3713068
ENSG00000116198	chr1	3728645	3773778
ENSG00000169598	chr1	3773845	3801993
ENSG00000198912	chr1	3805689	3816857
ENSG00000196581	chr1	4714792	4852594
ENSG00000131697	chr1	5922871	6052533
ENSG00000069424	chr1	6051526	6161253
ENSG00000268332	chr1	6100630	6101399
ENSG00000116254	chr1	6161853	6240183
ENSG00000116251	chr1	6241329	6269449
ENSG00000158286	chr1	6265535	6281359
ENSG00000116237	chr1	6281253	6296032
ENSG00000173673	chr1	6304252	6305638
ENSG00000158292	chr1	6307406	6321035
ENSG00000097021	chr1	6324329	6454451
ENSG00000069812	chr1	6472478	6484730
ENSG00000187017	chr1	6484848	6521430
ENSG00000215788	chr1	6521211	6526255
ENSG00000171680	chr1	6526152	6580121
ENSG00000162408	chr1	6581407	6614595
ENSG00000173662	chr1	6615241	6639817
ENSG00000204859	chr1	6640061	6649340
ENSG00000162413	chr1	6650784	6674667
ENSG00000116273	chr1	6673745	6684093
ENSG00000041988	chr1	6684926	6695646
ENSG00000007923	chr1	6694228	6761984
ENSG00000171735	chr1	6845384	7829766
ENSG00000049245	chr1	7831329	7841492
ENSG00000049246	chr1	7844380	7905237
ENSG00000049247	chr1	7903143	7913572
ENSG00000049249	chr1	7979907	8000926
ENSG00000116288	chr1	8014351	8045565
ENSG00000116285	chr1	8064464	8086368
ENSG00000162426	chr1	8377886	8404227
ENSG00000142599	chr1	8412457	8877702
ENSG00000074800	chr1	8921061	8939308
ENSG00000131686	chr1	9005926	9035151
ENSG00000197241	chr1	9063359	9086404
ENSG00000142583	chr1	9095166	9148537
ENSG00000180758	chr1	9160364	9189229
ENSG00000049239	chr1	9294834	9331396
ENSG00000171621	chr1	9352939	9429591
ENSG00000171612	chr1	9599541	9645237
ENSG00000188807	chr1	9648932	9674935
ENSG00000171608	chr1	9711790	9789172
ENSG00000179840	chr1	9712668	9714644
ENSG00000171603	chr1	9789084	9884584
ENSG00000178585	chr1	9908334	9970394
ENSG00000162441	chr1	9982173	10003465
ENSG00000173614	chr1	10003486	10045559
ENSG00000162444	chr1	10057264	10076078
ENSG00000130939	chr1	10092890	10241297
ENSG00000054523	chr1	10270863	10441661
ENSG00000142657	chr1	10458649	10480201
ENSG00000175279	chr1	10490159	10512210
ENSG00000251503	chr1	10490159	10512210
ENSG00000241563	chr1	10509776	10511959
ENSG00000160049	chr1	10516579	10532583
ENSG00000142655	chr1	10532345	10690815
ENSG00000130940	chr1	10696661	10856707
ENSG00000175262	chr1	11006528	11042094
ENSG00000120948	chr1	11072414	11085796
ENSG00000009724	chr1	11086580	11107290
ENSG00000116649	chr1	11114641	11120081
ENSG00000171824	chr1	11126675	11159938
ENSG00000198793	chr1	11166592	11322564
ENSG00000171819	chr1	11249398	11256038
ENSG00000120942	chr1	11333263	11356106
ENSG00000204624	chr1	11539223	11597641
ENSG00000116661	chr1	11708424	11715842
ENSG00000132879	chr1	11714432	11723384
ENSG00000116663	chr1	11724181	11734411
ENSG00000116670	chr1	11734537	11751707
ENSG00000162490	chr1	11751786	11785914
ENSG00000177674	chr1	11796141	11814859
ENSG00000215910	chr1	11821844	11849642
ENSG00000177000	chr1	11845780	11866977
ENSG00000011021	chr1	11866207	11903201
ENSG00000175206	chr1	11905766	11908402
ENSG00000120937	chr1	11917521	11918988
ENSG00000116685	chr1	11979648	11986485
ENSG00000083444	chr1	11994262	12035595
ENSG00000116688	chr1	12040238	12073571
ENSG00000116691	chr1	12079523	12092102
ENSG00000120949	chr1	12123434	12204264
ENSG00000028137	chr1	12227060	12269285
ENSG00000048707	chr1	12290124	12572099
ENSG00000162496	chr1	12627939	12677737
ENSG00000204518	chr1	12704566	12727097
ENSG00000188984	chr1	12776118	12788726
ENSG00000157330	chr1	12806163	12823847
ENSG00000116726	chr1	12834984	12838049
ENSG00000116721	chr1	12851546	12856777
ENSG00000204513	chr1	12884468	12891264
ENSG00000179172	chr1	12907261	12908578
ENSG00000120952	chr1	12916941	12921764
ENSG00000243073	chr1	12939045	12946025
ENSG00000187545	chr1	12952727	12958101
ENSG00000204510	chr1	12976450	12980569
ENSG00000232423	chr1	12998181	13117751
ENSG00000204508	chr1	13035543	13038381
ENSG00000239810	chr1	13052394	13052998
ENSG00000229571	chr1	13216356	13219581
ENSG00000204503	chr1	13328196	13331692
ENSG00000204502	chr1	13359819	13369057
ENSG00000182330	chr1	13386646	13390765
ENSG00000204501	chr1	13421176	13428191
ENSG00000204495	chr1	13447414	13452656
ENSG00000204491	chr1	13474689	13477522
ENSG00000204488	chr1	13495254	13498260
ENSG00000204486	chr1	13516066	13526943
ENSG00000157358	chr1	13641973	13648988
ENSG00000204481	chr1	13668269	13673511
ENSG00000204480	chr1	13694889	13698405
ENSG00000204479	chr1	13716092	13719089
ENSG00000204478	chr1	13736907	13747803
ENSG00000162494	chr1	13801445	13840543
ENSG00000162493	chr1	13909960	13944452
ENSG00000116731	chr1	14026693	14151574
ENSG00000189337	chr1	14925200	15444539
ENSG00000171729	chr1	15479028	15546976
ENSG00000204464	chr1	15490840	15497813
ENSG00000142621	chr1	15573768	15726779
ENSG00000142634	chr1	15736391	15756839
ENSG00000162438	chr1	15764935	15775737
ENSG00000142615	chr1	15783223	15798586
ENSG00000215704	chr1	15792404	15817895
ENSG00000132906	chr1	15817327	15853029
ENSG00000116138	chr1	15853308	15918874
ENSG00000116771	chr1	15898848	15911605
ENSG00000197312	chr1	15943995	15995539
ENSG00000215695	chr1	15986364	15988217
ENSG00000116786	chr1	16010827	16061264
ENSG00000162461	chr1	16062900	16067891
ENSG00000162460	chr1	16068917	16074477
ENSG00000162458	chr1	16083102	16113089
ENSG00000065526	chr1	16174359	16266955
ENSG00000116809	chr1	16268364	16302627
ENSG00000183888	chr1	16330731	16335302
ENSG00000173641	chr1	16340523	16346089
ENSG00000186510	chr1	16345370	16360545
ENSG00000184908	chr1	16370272	16383803
ENSG00000185519	chr1	16384264	16400127
ENSG00000142627	chr1	16450832	16482582
ENSG00000142632	chr1	16524349	16539104
ENSG00000204377	chr1	16555368	16556038
ENSG00000132881	chr1	16558195	16563657
ENSG00000037637	chr1	16573334	16678949
ENSG00000055070	chr1	16679070	16724640
ENSG00000187144	chr1	16713612	16763919
ENSG00000157191	chr1	16767167	16786573
ENSG00000268674	chr1	16865561	16866070
ENSG00000219481	chr1	16888814	16940057
ENSG00000237847	chr1	16999498	17000007
ENSG00000268991	chr1	17060447	17060956
ENSG00000058453	chr1	17066768	17299474
ENSG00000117122	chr1	17300997	17307330
ENSG00000159363	chr1	17312453	17338423
ENSG00000117118	chr1	17345217	17380665
ENSG00000117115	chr1	17393256	17445948
ENSG00000142623	chr1	17531621	17572500
ENSG00000142619	chr1	17575593	17610728
ENSG00000159339	chr1	17634690	17690499
ENSG00000269468	chr1	17655507	17676070
ENSG00000179051	chr1	17733256	17766220
ENSG00000074964	chr1	17866330	18024369
ENSG00000117148	chr1	18081808	18153558
ENSG00000117154	chr1	18434240	18704977
ENSG00000179023	chr1	18807424	18812478
ENSG00000009709	chr1	18957500	19075360
ENSG00000179002	chr1	19166093	19186176
ENSG00000255275	chr1	19175767	19247615
ENSG00000159423	chr1	19197926	19229275
ENSG00000169991	chr1	19230775	19283180
ENSG00000127481	chr1	19401000	19536770
ENSG00000127463	chr1	19542158	19578046
ENSG00000053372	chr1	19578033	19586622
ENSG00000162482	chr1	19609052	19615744
ENSG00000053371	chr1	19630459	19638640
ENSG00000040487	chr1	19638820	19655794
ENSG00000077549	chr1	19665267	19812066
ENSG00000270136	chr1	19923473	19984549
ENSG00000173436	chr1	19923477	19956314
ENSG00000158747	chr1	19967048	19984945
ENSG00000158748	chr1	19991780	20006055
ENSG00000162542	chr1	20008706	20126438
ENSG00000178828	chr1	20140523	20141771
ENSG00000169914	chr1	20209006	20239438
ENSG00000188784	chr1	20246502	20250110
ENSG00000188257	chr1	20301925	20306932
ENSG00000127472	chr1	20354672	20417683
ENSG00000117215	chr1	20438432	20446050
ENSG00000158786	chr1	20465819	20476879
ENSG00000187980	chr1	20487746	20503917
ENSG00000162543	chr1	20512578	20522541
ENSG00000158816	chr1	20617412	20681387
ENSG00000162545	chr1	20808884	20812713
ENSG00000090432	chr1	20825943	20834654
ENSG00000183114	chr1	20878932	20881512
ENSG00000158825	chr1	20915441	20945401
ENSG00000158828	chr1	20959948	20978004
ENSG00000244038	chr1	20978270	20988000
ENSG00000117245	chr1	20990507	21044510
ENSG00000189410	chr1	21046225	21059330
ENSG00000127483	chr1	21069154	21113816
ENSG00000075151	chr1	21132963	21503377
ENSG00000117298	chr1	21543740	21671997
ENSG00000142794	chr1	21766621	21811498
ENSG00000162551	chr1	21835858	21904905
ENSG00000076864	chr1	21922708	21995801
ENSG00000090686	chr1	22004791	22110099
ENSG00000187942	chr1	22138758	22151714
ENSG00000142798	chr1	22148738	22263790
ENSG00000219073	chr1	22303514	22325135
ENSG00000142789	chr1	22328149	22339032
ENSG00000070831	chr1	22379120	22419437
ENSG00000162552	chr1	22443798	22470462
ENSG00000184677	chr1	22778344	22857650
ENSG00000070886	chr1	22890057	22930087
ENSG00000173372	chr1	22962999	22966101
ENSG00000159189	chr1	22970123	22974603
ENSG00000173369	chr1	22979255	22988031
ENSG00000133216	chr1	23037332	23241818
ENSG00000215906	chr1	23279536	23291831
ENSG00000227868	chr1	23337327	23342343
ENSG00000004487	chr1	23345941	23410182
ENSG00000169641	chr1	23410516	23504301
ENSG00000179546	chr1	23516993	23521222
ENSG00000125944	chr1	23630264	23670829
ENSG00000125945	chr1	23685941	23695935
ENSG00000249087	chr1	23695490	23698332
ENSG00000204219	chr1	23707554	23751233
ENSG00000088280	chr1	23755056	23811061
ENSG00000007968	chr1	23832922	23857712
ENSG00000117318	chr1	23884409	23886285
ENSG00000197880	chr1	23907985	23967058
ENSG00000142676	chr1	24018269	24022915
ENSG00000011007	chr1	24069645	24088549
