ENSMUSG00000000001	ENSG00000065135
ENSMUSG00000000028	ENSG00000093009
ENSMUSG00000000037	ENSG00000102098
ENSMUSG00000000049	ENSG00000091583
ENSMUSG00000000056	ENSG00000141562
ENSMUSG00000000058	ENSG00000105971
ENSMUSG00000000078	ENSG00000067082
ENSMUSG00000000085	ENSG00000010803
ENSMUSG00000000088	ENSG00000178741
ENSMUSG00000000093	ENSG00000121068
ENSMUSG00000000094	ENSG00000121075
ENSMUSG00000000103	ENSG00000005889
ENSMUSG00000000103	ENSG00000067646
ENSMUSG00000000120	ENSG00000064300
ENSMUSG00000000125	ENSG00000108379
ENSMUSG00000000126	ENSG00000143816
ENSMUSG00000000127	ENSG00000151422
ENSMUSG00000000131	ENSG00000169180
ENSMUSG00000000134	ENSG00000068323
ENSMUSG00000000142	ENSG00000168646
ENSMUSG00000000148	ENSG00000106009
ENSMUSG00000000149	ENSG00000146535
ENSMUSG00000000154	ENSG00000110628
ENSMUSG00000000157	ENSG00000160255
ENSMUSG00000000159	ENSG00000183067
ENSMUSG00000000167	ENSG00000150773
ENSMUSG00000000168	ENSG00000150768
ENSMUSG00000000171	ENSG00000204370
ENSMUSG00000000171	ENSG00000255292
ENSMUSG00000000182	ENSG00000118972
ENSMUSG00000000183	ENSG00000111241
ENSMUSG00000000184	ENSG00000118971
ENSMUSG00000000194	ENSG00000148358
ENSMUSG00000000197	ENSG00000102452
ENSMUSG00000000202	ENSG00000204347
ENSMUSG00000000204	ENSG00000172123
ENSMUSG00000000204	ENSG00000205045
ENSMUSG00000000214	ENSG00000180176
ENSMUSG00000000215	ENSG00000254647
ENSMUSG00000000216	ENSG00000166828
ENSMUSG00000000223	ENSG00000102385
ENSMUSG00000000244	ENSG00000064201
ENSMUSG00000000247	ENSG00000106689
ENSMUSG00000000248	ENSG00000069493
ENSMUSG00000000248	ENSG00000188393
ENSMUSG00000000253	ENSG00000137198
ENSMUSG00000000263	ENSG00000145888
ENSMUSG00000000266	ENSG00000080561
ENSMUSG00000000275	ENSG00000121060
ENSMUSG00000000276	ENSG00000153933
ENSMUSG00000000278	ENSG00000121064
ENSMUSG00000000282	ENSG00000070444
ENSMUSG00000000295	ENSG00000111906
ENSMUSG00000000296	ENSG00000111907
ENSMUSG00000000301	ENSG00000133027
ENSMUSG00000000303	ENSG00000039068
ENSMUSG00000000305	ENSG00000179242
ENSMUSG00000000308	ENSG00000223572
ENSMUSG00000000308	ENSG00000237289
ENSMUSG00000000317	ENSG00000161940
ENSMUSG00000000318	ENSG00000141505
ENSMUSG00000000320	ENSG00000108839
ENSMUSG00000000325	ENSG00000099889
ENSMUSG00000000326	ENSG00000093010
ENSMUSG00000000339	ENSG00000137996
ENSMUSG00000000340	ENSG00000137992
ENSMUSG00000000346	ENSG00000183283
ENSMUSG00000000355	ENSG00000232119
ENSMUSG00000000359	ENSG00000088320
ENSMUSG00000000365	ENSG00000132972
ENSMUSG00000000374	ENSG00000160218
ENSMUSG00000000374	ENSG00000280433
ENSMUSG00000000378	ENSG00000136280
ENSMUSG00000000384	ENSG00000136270
ENSMUSG00000000385	ENSG00000184012
ENSMUSG00000000386	ENSG00000157601
ENSMUSG00000000392	ENSG00000078098
ENSMUSG00000000394	ENSG00000115263
ENSMUSG00000000399	ENSG00000139180
ENSMUSG00000000399	ENSG00000255639
ENSMUSG00000000402	ENSG00000198759
ENSMUSG00000000409	ENSG00000182866
ENSMUSG00000000411	ENSG00000162526
ENSMUSG00000000416	ENSG00000077063
ENSMUSG00000000420	ENSG00000141429
ENSMUSG00000000435	ENSG00000111049
ENSMUSG00000000439	ENSG00000075975
ENSMUSG00000000440	ENSG00000132170
ENSMUSG00000000441	ENSG00000132155
ENSMUSG00000000486	ENSG00000180096
ENSMUSG00000000489	ENSG00000100311
ENSMUSG00000000530	ENSG00000139567
ENSMUSG00000000531	ENSG00000161835
ENSMUSG00000000532	ENSG00000135503
ENSMUSG00000000538	ENSG00000175662
ENSMUSG00000000544	ENSG00000143167
ENSMUSG00000000552	ENSG00000161642
ENSMUSG00000000555	ENSG00000161638
ENSMUSG00000000560	ENSG00000151834
ENSMUSG00000000561	ENSG00000116455
ENSMUSG00000000562	ENSG00000282608
ENSMUSG00000000563	ENSG00000116459
ENSMUSG00000000567	ENSG00000125398
ENSMUSG00000000568	ENSG00000138668
ENSMUSG00000000579	ENSG00000146425
ENSMUSG00000000581	ENSG00000197223
ENSMUSG00000000594	ENSG00000196743
ENSMUSG00000000600	ENSG00000001631
ENSMUSG00000000605	ENSG00000073464
ENSMUSG00000000617	ENSG00000113262
ENSMUSG00000000627	ENSG00000135622
ENSMUSG00000000628	ENSG00000159399
